"SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue"
"Alaria_nana","Alaria nana",NA,"Alaria","Alariaceae","Laminariales","Phaeophyceae","Ochrophyta","Chromalveolata","Algae",NA,NA,"Pfister; Wang","Ecology","2005","10.1890/04-1952","Pfister Ecol 2005_pers_communication.xlsx",5,1997,2001,"5",1,"Frond width","No","No","Tatoosh Island",48.4,-124.733333333333,1,"USA","N America","TCF","A","Mean","Unmanipulated","W",1997,NA,"5",2001,NA,"9","Divided","Yes","1997 was El Nino Year",6,0.99575
"Alaria_nana","Alaria nana",NA,"Alaria","Alariaceae","Laminariales","Phaeophyceae","Ochrophyta","Chromalveolata","Algae",NA,NA,"Pfister; Wang","Ecology","2005","10.1890/04-1952","Pfister Ecol 2005_pers_communication.xlsx",5,1997,2001,"5",1,"Frond width","No","No","Tatoosh Island",48.4,-124.733333333333,1,"USA","N America","TCF","A","Individual","Unmanipulated","W",1997,NA,"5",1997,NA,"9","Divided","Yes","El Nino year",6,1
"Alaria_nana","Alaria nana",NA,"Alaria","Alariaceae","Laminariales","Phaeophyceae","Ochrophyta","Chromalveolata","Algae",NA,NA,"Pfister; Wang","Ecology","2005","10.1890/04-1952","Pfister Ecol 2005_pers_communication.xlsx",5,1997,2001,"5",1,"Frond width","No","No","Tatoosh Island",48.4,-124.733333333333,1,"USA","N America","TCF","A","Individual","Unmanipulated","W",2001,NA,"5",2001,NA,"9","Divided","Yes",NA,6,0.9915
"Ascophyllum_nodosum","Ascophyllum nodosum",NA,"Ascophyllum","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Araújo; Serrao; Sousa-Pinto; Aberg","PLoS ONE","2014","10.1371/journal.pone.0092177",NA,5,2005,2009,"France: 1 (2006-2009); Portugal: 3 (2005), 2 (2006) 1 (2007-2009)",NA,"Dryweight","No","No","All Sites",NA,NA,NA,NA,"Europe","TSS","A","Mean","Unmanipulated","W",2005,NA,NA,2009,NA,NA,"Divided","Yes",NA,6,1.1208
"Ascophyllum_nodosum","Ascophyllum nodosum",NA,"Ascophyllum","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Araújo; Serrao; Sousa-Pinto; Aberg","PLoS ONE","2014","10.1371/journal.pone.0092177",NA,5,2005,2009,"France: 1 (2006-2009); Portugal: 3 (2005), 2 (2006) 1 (2007-2009)",NA,"Dryweight","No","No","Portugal",41.6840833333333,-8.83491666666667,0,"PRT","Europe","TSS","A","Mean","Unmanipulated","W",2005,NA,NA,2009,NA,NA,"Divided","Yes",NA,6,1.4302
"Ascophyllum_nodosum","Ascophyllum nodosum",NA,"Ascophyllum","Fucaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Araújo; Serrao; Sousa-Pinto; Aberg","PLoS ONE","2014","10.1371/journal.pone.0092177",NA,5,2005,2009,"France: 1 (2006-2009); Portugal: 3 (2005), 2 (2006) 1 (2007-2009)",NA,"Dryweight","No","No","All sites in France",NA,NA,NA,"FRA","Europe","TSS","A","Mean","Unmanipulated","W",2005,NA,NA,2009,NA,NA,"Divided","Yes",NA,6,0.8638
"Ascophyllum_nodosum_3","Ascophyllum nodosum",NA,"Ascophyllum","Aspleniaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Aberg","Mar Ecol Prog Ser","1990","10.3354/meps063281","Aberg Ecol 1992b",4,1985,1988,"2",2,"Maximum length and maximum circumference","No","No","Tjärnö",58.8666666666667,11,0,"SWE","Europe","TBM","A","Mean","Unmanipulated","W",1985,NA,NA,1988,NA,NA,"Divided","Yes","75 % normal years, 18 % ice years, 7 % extreme ice years",5,0.93
"Ascophyllum_nodosum_3","Ascophyllum nodosum",NA,"Ascophyllum","Aspleniaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Aberg","Mar Ecol Prog Ser","1990","10.3354/meps063281","Aberg Ecol 1992b",4,1985,1988,"2",2,"Maximum length and maximum circumference","No","No","Tjärnö",58.8666666666667,11,0,"SWE","Europe","TBM","A","Mean","Unmanipulated","W",1985,NA,NA,1988,NA,NA,"Divided","Yes","Normal years",5,1
"Ascophyllum_nodosum_3","Ascophyllum nodosum",NA,"Ascophyllum","Aspleniaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Aberg","Mar Ecol Prog Ser","1990","10.3354/meps063281","Aberg Ecol 1992b",4,1985,1988,"2",2,"Maximum length and maximum circumference","No","No","Tjärnö",58.8666666666667,11,0,"SWE","Europe","TBM","A","Mean","Unmanipulated","W",1985,NA,NA,1988,NA,NA,"Divided","Yes","Ice years",5,0.78
"Ascophyllum_nodosum_3","Ascophyllum nodosum",NA,"Ascophyllum","Aspleniaceae","Fucales","Phaeophyceae","Heterokontophyta","Chromalveolata","Algae",NA,NA,"Aberg","Mar Ecol Prog Ser","1990","10.3354/meps063281","Aberg Ecol 1992b",4,1985,1988,"2",2,"Maximum length and maximum circumference","No","No","Tjärnö",58.8666666666667,11,0,"SWE","Europe","TBM","A","Mean","Unmanipulated","W",1985,NA,NA,1988,NA,NA,"Divided","Yes","Extreme ice years",5,0.45
